Time,Subfloor,HotAisle,Ceiling
224.336,70.8649,0.303,6.4069
225.664,70.5946,0.1299,6.3203
226.991,70.2703,0.1299,6.6667
228.319,69.2973,0.1299,7.1861
229.646,68.2703,0.1299,7.6623
230.973,67.8919,0.1299,7.6623
232.301,67.3514,0.1299,7.1861
233.628,67.027,0.1299,7.013
234.956,66.8649,0.1299,7.4459
236.283,67.027,0.1299,7.9654
237.611,67.5676,0.1299,7.9221
238.938,68.1622,0.1299,7.619
240.265,68.3784,0.1299,7.5325
241.593,68.5946,0.1299,7.316
242.92,68.3784,0.1299,7.2294
244.248,68.0541,0.1299,6.0606
245.575,67.8919,0.1299,5.5844
246.903,67.4595,0.1299,5.5411
248.23,67.3514,0.1299,5.671
249.558,67.0811,0.1299,6.1472
250.885,67.0811,0.1299,6.4502
252.212,67.4054,0.1299,6.1905
253.54,67.7297,0.1299,5.5411
254.867,68.973,0.1299,5.1948
256.195,70,0.1299,5.1082
257.522,70.973,0.1299,5.1082
258.85,71.6757,0.1299,5.1515
260.177,72.9189,0.1299,4.632
261.504,73.2432,0.1732,4.329
262.832,73.0811,0.1299,4.329
264.159,72.973,0.1299,4.5022
265.487,72.8108,0.1299,4.4589
266.814,72.5405,0.1299,4.632
268.142,72.8108,0.1299,4.8918
269.469,73.2973,0.1299,5.4978
270.796,73.4595,0.1299,6.2338
272.124,73.3514,0.1299,6.2338
273.451,72.3784,0.1299,6.2771
274.779,72.1622,0.1299,4.7619
276.106,71.8919,0.1299,4.6753
277.434,70.973,0.1299,4.4156
278.761,70.2162,0.1299,4.6753
280.088,69.9459,0.1299,4.8485
281.416,69.3514,0.1299,5.3247
282.743,69.0811,0.1299,5.1515
284.071,68.5946,0.1299,5.1515
285.398,68.2162,0.1299,5.2381
286.726,68,0.1299,5.2381
288.053,67.2973,0.1299,5.8009
289.381,67.2432,0.4762,5.974
290.708,67.7297,0.6494,6.4935
292.035,68.8649,0.6926,7.316
293.363,69.1892,0.6926,7.4026
