Exp,HF
R1,8.1
R2,7.7
R3,8.3
R4,8.3
R5,NaN
R6,9.8
R7,9.6
R8,9.8
R9,11.5
R10,NaN
R11,12.6
R12,12.6
R13,12.0
R14,14.2
R15,16.0
R16,16.4
R17,17.3
R18,NaN
R19,20.3
R20,19.0
R21,25.7
R22,27.9
R23,30.2
R24,32.7
R25,35.8
R26,41.3
R27,42.4
R28,46.6
R29,48.6
R30,49.6
R31,17.5
R32,18.6
R33,18.0
R34,18.1
R35,18.3
R36,19.0
R37,19.7
R38,19.5
R39,21.4
R40,NaN
