Exp,HF
R1,20.6
R2,20.2
R3,22.1
R4,22.8
R5,NaN
R6,27.1
R7,26.7
R8,27.1
R9,33.2
R10,NaN
R11,35.0
R12,35.2
R13,32.1
R14,38.1
R15,43.2
R16,41.2
R17,42.1
R18,NaN
R19,43.8
R20,42.2
R21,53.0
R22,54.9
R23,59.5
R24,69.9
R25,65.0
R26,71.7
R27,68.5
R28,75.3
R29,77.1
R30,76.5
R31,42.0
R32,47.7
R33,48.2
R34,52.2
R35,51.1
R36,57.1
R37,58.7
R38,60.1
R39,68.8
R40,NaN
